9	7	0.08394472
34	35	0.25911295
58	48	0.33371502
34	32	0.4987961
43	38	0.51026964
22	19	0.57054543
11	6	0.6769978
26	2	0.8469401
51	50	0.8680817
9	25	1.1401753
24	21	1.1427343
16	14	1.1515929
20	3	1.3353078
58	39	1.4240947
44	42	1.4707856
43	45	1.5541682
11	10	1.6151577
28	58	1.6162616
36	34	1.6485629
23	16	1.672546
20	37	1.6879755
30	1	1.697538
52	46	1.7413213
40	18	1.8113023
29	4	1.8536202
9	12	1.9244189
26	0	2.0415745
41	20	2.1366343
24	33	2.1499686
61	31	2.3208797
27	13	2.5312486
9	17	2.536357
28	60	2.5515275
43	61	2.709565
11	5	2.7317934
22	8	2.7532396
51	55	2.8236492
44	28	3.335078
11	22	3.442007
43	47	3.6311939
9	23	3.9769456
43	44	4.261315
54	53	4.870755
27	26	4.8858113
30	27	5.1559973
52	59	5.2868137
36	41	5.529734
11	43	6.164092
24	11	6.202984
29	9	6.6867967
49	36	7.278339
54	40	7.9041934
49	15	8.223974
29	57	9.751955
30	24	10.473792
51	49	11.85342
52	54	12.779631
30	56	14.938092
52	29	16.361675
52	51	21.383963
52	30	25.248438
