10	8	0.08394472	63
35	36	0.25911295	64
59	49	0.33371502	65
64	33	0.4987961	66
44	39	0.51026964	67
23	20	0.57054543	68
12	7	0.6769978	69
27	3	0.8469401	70
52	51	0.8680817	71
63	26	1.1401753	72
25	22	1.1427343	73
17	15	1.1515929	74
21	4	1.3353078	75
65	40	1.4240947	76
45	43	1.4707856	77
67	46	1.5541682	78
69	11	1.6151577	79
29	76	1.6162616	80
37	66	1.6485629	81
24	74	1.672546	82
75	38	1.6879755	83
31	2	1.697538	84
53	47	1.7413213	85
41	19	1.8113023	86
30	5	1.8536202	87
72	13	1.9244189	88
70	1	2.0415745	89
42	83	2.1366343	90
73	34	2.1499686	91
62	32	2.3208797	92
28	14	2.5312486	93
88	18	2.536357	94
80	61	2.5515275	95
78	92	2.709565	96
79	6	2.7317934	97
68	9	2.7532396	98
71	56	2.8236492	99
77	95	3.335078	100
97	98	3.442007	101
96	48	3.6311939	102
94	82	3.9769456	103
102	100	4.261315	104
55	54	4.870755	105
93	89	4.8858113	106
84	106	5.1559973	107
85	60	5.2868137	108
81	90	5.529734	109
101	104	6.164092	110
91	110	6.202984	111
87	103	6.6867967	112
50	109	7.278339	113
105	86	7.9041934	114
113	16	8.223974	115
112	58	9.751955	116
107	111	10.473792	117
99	115	11.85342	118
108	114	12.779631	119
117	57	14.938092	120
119	116	16.361675	121
121	118	21.383963	122
122	120	25.248438	123
